;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
DTEX3;21,14;45.072.554,63;32,18;2,81;3,55%;0,28;0,66;0,59;Materiais Básicos;Madeira e Papel
EALT3;16,30;50.132,88;14,53;2,00;0,34%;0,37;1,12;0,75;Bens Industriais;Máquinas e Equipamentos
EALT4;6,65;330.979,58;5,93;0,81;0,90%;0,37;1,12;0,75;Bens Industriais;Máquinas e Equipamentos
ECOR3;11,49;44.192.255,00;-15,10;113,97;-%;125,34;-0,76;-0,33;Bens Industriais;Transporte
ECPR3;77,00;7.733,00;-2,64;0,93;-%;0,00;-29,13;-9,31;Consumo Cíclico;Tecidos. Vestuário e Calçados
ECPR4;74,96;10.030,67;-2,57;0,90;-%;0,00;-29,13;-9,31;Consumo Cíclico;Tecidos. Vestuário e Calçados
EEEL3;547,50;110.251,00;18,97;2,07;3,61%;-0,01;28,87;40,41;Utilidade Pública;Energia Elétrica
EEEL4;600,00;60.000,00;20,78;2,27;3,62%;-0,01;28,87;40,41;Utilidade Pública;Energia Elétrica
EGIE3;41,53;70.510.072,65;12,11;4,38;4,15%;1,58;3,43;2,83;Utilidade Pública;Energia Elétrica
EKTR3;37,00;13.474,25;12,11;2,40;7,85%;1,03;3,06;2,55;Utilidade Pública;Energia Elétrica
EKTR4;25,50;33.342,07;8,35;1,66;12,53%;1,03;3,06;2,55;Utilidade Pública;Energia Elétrica
ELEK3;19,11;11.501,50;24,46;2,66;-%;0,70;0,78;1,87;Materiais Básicos;Químicos
ELEK4;36,99;52.244,08;47,34;5,15;-%;0,70;0,78;1,87;Materiais Básicos;Químicos
ELET3;36,24;204.320.076,28;8,97;0,77;11,05%;0,41;4,04;7,91;Utilidade Pública;Energia Elétrica
ELET5;64,50;33.300,67;15,96;1,37;8,39%;0,41;4,04;7,91;Utilidade Pública;Energia Elétrica
ELET6;36,43;83.305.041,48;9,02;0,78;12,09%;0,41;4,04;7,91;Utilidade Pública;Energia Elétrica
ELPL3;8,41;-;1,69;0,62;-%;1,27;4,97;3,88;Utilidade Pública;Energia Elétrica
EMAE3;25,35;-;4,72;1,30;29,13%;-0,63;5,37;2,51;Utilidade Pública;Energia Elétrica
EMAE4;80,01;336.806,58;14,89;4,11;10,15%;-0,63;5,37;2,51;Utilidade Pública;Energia Elétrica
EMBR3;15,86;213.148.231,35;-3,24;0,77;-%;0,59;-4,88;-1,78;Bens Industriais;Material de Transporte
ENAT3;15,59;36.943.009,33;36,27;1,50;-%;-0,34;-;0,81;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
ENBR3;18,68;63.603.858,68;7,52;1,01;5,35%;0,55;2,49;2,20;Utilidade Pública;Energia Elétrica
ENEV3;15,03;114.120.507,90;18,87;2,40;-%;0,65;3,19;1,91;Utilidade Pública;Energia Elétrica
ENGI11;44,04;100 %;10,88;2,13;3,13%;1,89;4,05;1,25;Utilidade Pública;Energia Elétrica
ENGI3;15,40;401.830,93;19,02;3,72;1,79%;1,89;0,81;0,25;Utilidade Pública;Energia Elétrica
ENGI4;7,19;547.925,98;8,88;1,74;3,84%;1,89;0,81;0,25;Utilidade Pública;Energia Elétrica
ENJU3;13,79;26.981.284,68;-86,41;5,41;-%;-1,01;-0,16;;Tecnologia da Informação;Programas e Serviços
ENMA3B;50,49;-;11,84;2,77;0,61%;0,28;4,27;4,68;Utilidade Pública;Energia Elétrica
ENMA6B;83,99;-;19,69;4,60;1,58%;0,28;4,27;4,68;Utilidade Pública;Energia Elétrica
ENMT3;45,49;425.188,44;14,53;3,54;-%;0,94;3,10;2,79;Utilidade Pública;Energia Elétrica
ENMT4;47,40;142.297,79;15,31;3,73;1,20%;0,94;3,10;2,79;Utilidade Pública;Energia Elétrica
EQPA3;4,39;267.274,38;13,50;2,88;6,38%;0,52;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA5;5,51;15.405,10;16,94;3,61;4,54%;0,52;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA6;10,48;1.068,00;32,22;6,86;2,67%;0,52;0,33;0,21;Utilidade Pública;Energia Elétrica
EQPA7;6,20;16.513,09;19,06;4,06;4,52%;0,52;0,33;0,21;Utilidade Pública;Energia Elétrica
EQTL3;25,29;187.988.955,85;8,59;2,08;1,27%;0,83;2,94;11,97;Utilidade Pública;Energia Elétrica
ESTR3;17,80;-;-0,92;-0,03;-%;-;-19,42;-50,56;Consumo Cíclico;Viagens e Lazer
ESTR4;31,06;43.059,50;-1,60;-0,05;-%;-;-19,42;-50,56;Consumo Cíclico;Viagens e Lazer
ETER3;22,55;67.111.465,50;7,34;5,42;-%;-0,07;3,07;-0,42;Bens Industriais;Construção e Engenharia
EUCA3;24,16;255.473,97;15,52;1,51;0,83%;0,28;1,56;0,71;Materiais Básicos;Madeira e Papel
EUCA4;11,65;2.668.369,95;7,48;0,73;1,90%;0,28;1,56;0,71;Materiais Básicos;Madeira e Papel
EVEN3;10,41;16.058.764,30;150,29;0,89;1,39%;-0,34;0,07;0,55;Consumo Cíclico;Construção Civil
EZTC3;32,54;80.929.978,30;18,23;1,79;0,90%;-0,26;1,79;1,41;Consumo Cíclico;Construção Civil
FBMC3;0,00;-;0,00;0,00;-%;-;-21,16;-21,16;Materiais Básicos;Siderurgia e Metalurgia
FBMC4;1,96;-;-0,09;-0,02;-%;-;-21,16;-21,16;Materiais Básicos;Siderurgia e Metalurgia
FESA3;49,80;51.457,38;63,04;2,48;1,69%;0,14;0,79;2,50;Materiais Básicos;Siderurgia e Metalurgia
FESA4;39,83;14.376.863,28;50,42;1,99;2,33%;0,14;0,79;2,50;Materiais Básicos;Siderurgia e Metalurgia
FHER3;11,31;11.047.800,75;-3,06;-4,11;-%;-;-3,70;12,13;Materiais Básicos;Químicos
FIGE3;0,00;-;0,00;0,00;-%;-0,34;1,44;3,28;Financeiro e Outros;Outros
FIGE4;0,00;-;0,00;0,00;-%;-0,34;1,44;3,28;Financeiro e Outros;Outros
FLEX3;0,00;-;0,00;0,00;-%;4,82;-7,27;-5,86;Bens Industriais;Serviços
FLRY3;25,31;49.626.522,78;31,26;4,59;2,88%;0,49;0,81;0,99;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
FNCN3;0,00;-;0,00;0,00;-%;-;-2,29;-0,69;Financeiro e Outros;Intermediários Financeiros
FRAS3;11,89;3.300.326,93;13,73;2,71;2,31%;0,48;0,87;0,40;Bens Industriais;Material de Transporte
FRIO3;92,00;86.364,33;-2,48;29,52;-%;50,30;-37,05;5,31;Bens Industriais;Máquinas e Equipamentos
FRTA3;6,70;253.283,05;6,21;-0,20;-%;-;1,08;0,30;Consumo não Cíclico;Agropecuária
FTRT3B;0,00;-;0,00;0,00;-%;0,00;0,00;0,00;Financeiro e Outros;Outros
GBIO33;10,40;5.159.958,21;-14,97;1,32;-%;0,25;-0,69;0,02;Saúde;Comércio e Distribuição
GEPA3;40,00;36.983,00;5,38;1,98;4,72%;-0,02;7,43;2,61;Utilidade Pública;Energia Elétrica
GEPA4;38,95;33.102,30;5,24;1,92;4,84%;-0,02;7,43;2,61;Utilidade Pública;Energia Elétrica
GFSA3;4,59;29.820.330,88;-18,04;0,89;-%;0,20;-0,25;-0,11;Consumo Cíclico;Construção Civil
GGBR3;28,74;3.898.346,00;20,89;1,59;1,46%;0,32;1,38;0,70;Materiais Básicos;Siderurgia e Metalurgia
GGBR4;34,57;463.029.806,18;25,13;1,91;1,21%;0,32;1,38;0,70;Materiais Básicos;Siderurgia e Metalurgia
GMAT3;7,84;37.548.623,75;23,80;3,03;-%;-0,16;0,33;;Consumo não Cíclico;Comércio e Distribuição
GNDI3;82,42;394.919.012,48;68,66;7,12;-%;-0,01;1,21;0,80;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
GOAU3;13,79;853.113,78;17,21;0,46;1,74%;0,26;0,80;0,43;Materiais Básicos;Siderurgia e Metalurgia
GOAU4;15,47;147.117.237,73;19,28;0,52;1,55%;0,26;0,80;0,43;Materiais Básicos;Siderurgia e Metalurgia
GOLL4;23,99;198.542.528,03;-20,84;-5,46;-%;-;-1,91;-0,04;Bens Industriais;Transporte
GPAR3;68,00;16.549,33;31,84;3,74;-%;-0,03;2,14;2,19;Utilidade Pública;Energia Elétrica
GPCP3;32,53;3.975.009,58;8,56;3,23;0,94%;0,30;3,80;3,98;Materiais Básicos;Químicos
GPCP4;31,50;28.653,86;8,28;3,12;4,95%;0,30;3,80;3,98;Materiais Básicos;Químicos
GPIV33;6,26;1.852.603,45;-1,21;0,19;-%;-0,25;-5,20;2,21;Financeiro e Outros;Serviços Financeiros Diversos
GRND3;7,78;14.242.332,45;17,32;1,66;8,70%;-0,33;0,45;0,55;Consumo Cíclico;Tecidos. Vestuário e Calçados
GSHP3;46,00;37.177,44;-0,19;-0,19;-%;-;-245,20;-0,49;Financeiro e Outros;Exploração de Imóveis
GUAR3;17,54;16.570.776,68;-322,46;1,74;2,31%;0,14;-0,05;1,19;Consumo Cíclico;Comércio
HAGA3;3,50;88.528,69;7,47;-0,60;-%;-;0,47;0,21;Bens Industriais;Construção e Engenharia
HAGA4;2,34;504.641,33;5,03;-0,40;-%;-;0,47;0,21;Bens Industriais;Construção e Engenharia
HAPV3;14,68;175.817.283,53;72,14;7,22;0,40%;-0,05;0,21;1,26;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
HBOR3;8,97;16.811.168,75;45,28;0,72;-%;0,58;0,20;-;Consumo Cíclico;Construção Civil
HBRE3;16,40;1.756.160,51;-81,38;1,24;-%;0,56;;;Financeiro e Outros;Exploração de Imóveis
HBSA3;6,60;26.415.088,43;-47,55;3,29;-%;1,92;-0,14;0,08;Bens Industriais;Transporte
HBTS5;25,12;46.339,32;156,72;0,78;0,19%;0,42;0,16;-1,72;Financeiro e Outros;Exploração de Imóveis
HETA3;4,01;-;-0,01;0,00;-%;-;-337,35;6,74;Consumo Cíclico;Utilidades Domésticas
HETA4;10,75;70.842,70;-0,03;-0,01;-%;-;-337,35;6,74;Consumo Cíclico;Utilidades Domésticas
HGTX3;27,11;109.802.758,50;12,82;2,71;1,63%;-0,11;2,11;1,32;Consumo Cíclico;Tecidos. Vestuário e Calçados
HOOT3;0,00;-;0,00;0,00;-%;-;-4,94;-7,44;Consumo Cíclico;Hoteis e Restaurantes
HOOT4;2,81;37.346,95;-0,57;-0,11;-%;-;-4,94;-7,44;Consumo Cíclico;Hoteis e Restaurantes
HYPE3;34,43;100.169.504,78;16,01;2,33;3,45%;0,53;2,04;-;Saúde;Comércio e Distribuição
IDVL3;2,16;289.164,47;-0,99;0,93;-%;-;-2,18;-1,17;Financeiro e Outros;Intermediários Financeiros
IDVL4;2,67;89.696,16;-1,22;1,16;-%;-;-2,18;-1,17;Financeiro e Outros;Intermediários Financeiros
IGBR3;12,92;1.901.355,43;-1,77;-0,17;-%;-;-7,29;-5,16;Financeiro e Outros;Exploração de Imóveis
IGSN3;0,00;-;0,00;0,00;-%;1,50;-0,03;0,22;Utilidade Pública;Água e Saneamento
IGTA3;37,44;87.376.132,85;32,58;2,09;0,55%;0,60;1,15;1,76;Financeiro e Outros;Exploração de Imóveis
INEP3;42,00;667.172,05;-0,81;-0,16;-%;-;-51,86;-58,23;Bens Industriais;Máquinas e Equipamentos
INEP4;41,73;1.059.144,43;-0,80;-0,16;-%;-;-51,86;-58,23;Bens Industriais;Máquinas e Equipamentos
INNT3;0,00;-;0,00;0,00;-%;2,93;-0,46;0,92;Consumo Cíclico;Construção Civil
IRBR3;6,27;196.878.897,28;-5,22;1,86;2,11%;-;-1,20;3,88;Financeiro e Outros;Previdência e Seguros
ITEC3;40,10;-;-35,12;22,04;-%;-1,02;-1,14;-1,14;Tecnologia da Informação;Computadores e Equipamentos
ITSA3;11,09;2.187.614,00;13,23;1,54;2,51%;0,02;0,84;1,23;Financeiro e Outros;Intermediários Financeiros
ITSA4;10,30;286.735.848,83;12,29;1,43;2,70%;0,02;0,84;1,23;Financeiro e Outros;Intermediários Financeiros
ITUB3;25,01;13.875.672,80;12,98;1,59;2,40%;-;1,93;2,77;Financeiro e Outros;Intermediários Financeiros
ITUB4;28,04;929.529.464,98;14,55;1,78;2,14%;-;1,93;2,77;Financeiro e Outros;Intermediários Financeiros
JBDU3;3,11;297.463,93;-2,40;0,25;-%;0,10;-1,29;-32,02;Financeiro e Outros;Holdings Diversificadas
JBDU4;3,06;551.483,68;-2,41;0,26;-%;0,10;-1,29;-32,02;Financeiro e Outros;Holdings Diversificadas
JBSS3;32,24;405.967.271,95;17,63;1,86;1,67%;1,06;1,75;2,22;Consumo não Cíclico;Alimentos Processados
JFEN3;4,33;55.586,00;-2,70;-1,00;-%;-;-1,60;-4,07;Consumo Cíclico;Construção Civil
JHSF3;6,91;40.813.061,03;7,36;1,24;5,18%;0,14;0,94;0,61;Consumo Cíclico;Construção Civil
JOPA3;34,40;44.214,00;11,44;0,52;0,84%;0,68;3,01;1,01;Consumo não Cíclico;Alimentos Processados
JOPA4;74,88;25.975,00;24,90;1,14;0,42%;0,68;3,01;1,01;Consumo não Cíclico;Alimentos Processados
JPSA3;27,23;7.238.727,68;31,17;0,75;0,51%;0,62;0,87;1,46;Financeiro e Outros;Exploração de Imóveis
JSLG3;9,97;3.655.575,53;15,44;2,62;0,56%;1,77;0,65;1,10;Bens Industriais;Transporte
KEPL3;49,39;10.533.499,98;19,19;2,51;2,57%;-0,51;2,57;1,43;Bens Industriais;Máquinas e Equipamentos
KLBN11;28,58;100 %;-12,92;7,33;-%;4,51;-2,21;0,62;Materiais Básicos;Madeira e Papel
KLBN3;5,92;2.497.772,03;-13,35;7,57;-%;4,51;-0,44;0,12;Materiais Básicos;Madeira e Papel
KLBN4;5,67;11.375.029,03;-12,80;7,26;-%;4,51;-0,44;0,12;Materiais Básicos;Madeira e Papel
LAME3;20,46;47.810.783,98;98,14;2,44;1,05%;0,02;0,21;0,44;Consumo Cíclico;Comércio
LAME4;22,26;258.963.664,65;106,66;2,65;0,96%;0,02;0,21;0,44;Consumo Cíclico;Comércio
LAVV3;8,48;10.845.033,98;19,44;1,40;1,22%;-0,66;0,44;;Consumo Cíclico;Construção Civil
